name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YNR022C	0.666667	0.0842199	15.8303	0.001	5.30953e-13	0
YPL061W	0.0563265	0.0110331	23796	0.001	1.9861e-14	0
YAL038W	0.666667	0.0628571	563.597	0.001	5.86538e-12	1
YNL307C	0.0664894	0.0204627	59453.8	0.001	6.93082e-13	0
YOR226C	0.666667	0.333333	154.421	0.001	1.27096e-09	0
YAL040C	0.269231	0.015898	3265.99	3	0.00151663	0
YJL013C	0.285714	0.0515905	369.956	2	0.00599032	0
YJL157C	0.186207	0.0134873	17759.9	2	0.000875453	1
YJR132W	0.125	0.0224675	5049.6	2	0.0012867	0
YLL021W	0.169935	0.017031	11587.8	5	0.0207085	0
YLR182W	0.257576	0.0161436	4383.17	6	0.0165635	1
YPL014W	0.6	0.011504	1057.58	0.001	1.11139e-14	0
YAL041W	0.117241	0.0204636	26614.8	2	0.00437743	1
YBL085W	0.0500439	0.0138657	91798.9	0.001	1.69808e-13	0
YBR079C	0.231884	0.0209381	8576.47	43	30.3901	1
YBR200W	0.0547264	0.0143458	101818	10	0.236004	1
YDR379W	0.5	0.0166047	329.832	0.001	1.25368e-14	0
YER114C	0.0693802	0.0117122	54944.3	0.001	7.17312e-14	0
YGL052W	1	0.117241	0	0.001	0	0
YGL127C	0.0410798	0.0126659	139435	18	0.859737	0
YGL233W	0.47619	0.0278607	798.392	3	0.00618484	1
YGR152C	0.47619	0.0270038	873.775	0.001	2.21248e-13	0
YGR221C	0.666667	0.0173525	160.616	0.001	9.70832e-15	0
YGR268C	0.183333	0.0125783	13649.4	0.001	6.26389e-14	0
YHL007C	0.131907	0.0121431	26624.6	1	7.63605e-05	0
YIL079C	0.254545	0.0338873	1304.06	2	0.00350189	0
YJL008C	0.057193	0.0108196	38260	0.001	2.99875e-14	1
YJL187C	0.134454	0.0136287	30354.7	0.001	1.40806e-13	0
YKL172W	0.527273	0.0456427	399.732	0.001	9.14722e-13	1
YLL008W	0.406593	0.041992	708.977	0.001	8.96308e-13	1
YLR206W	0.357143	0.0205093	1042.44	0.001	6.58715e-14	0
YLR229C	0.147783	0.0211138	10304.7	1	0.000302637	1
YLR357W	0.428571	0.0587472	419.336	2	0.0171247	0
YMR298W	0.5	0.074407	504.196	0.001	7.72724e-12	1
YNL118C	0.0902439	0.0172045	47075.6	20	2.97767	1
YNL175C	0.168091	0.0184142	9607.99	0.001	1.8569e-13	0
YOR212W	0.0627119	0.0201489	45183.5	9	0.340456	0
YPL161C	0.138528	0.0354582	14646	0.001	3.20719e-12	0
YPR129W	1	0.117241	0	0.001	0	0
YAL042W	0.666667	0.0636364	294.365	1	0.00321823	0
YML067C	0.314286	0.0686833	1842.46	1	0.0128863	0
YML130C	0.321429	0.0462934	1737.76	0.001	2.56538e-12	1
YAL043C	0.568421	0.033051	6979.78	60	1022.6	1
YDR195W	0.575163	0.0228777	2660.47	33	15.0641	0
YDR228C	0.193333	0.0158239	17898.8	38	11.9053	1
YDR301W	0.620915	0.038683	1374.17	57	353.817	1
YDR311W	0.0719697	0.0175562	42464.4	39	17.2222	1
YGR156W	0.638095	0.0391705	5702.74	22	91.2167	1
YJL033W	0.363158	0.0314122	3438.05	0.001	1.21563e-12	1
YJR093C	0.450292	0.0165068	11016.5	43	29.282	1
YKL018W	0.385621	0.0387154	3642.79	28	69.2792	1
YKL059C	0.654412	0.0385331	866.766	50	156.314	1
YKR002W	0.521053	0.0187714	5551.09	26	6.31205	1
YLR115W	0.557895	0.0343953	7004.48	56	960.476	1
YLR277C	0.54386	0.0374288	8744.38	57	1728.47	1
YMR061W	0.312253	0.026954	6880.38	50	141.749	1
YMR182C	0.666667	0.47619	541.423	0.001	1.85596e-08	0
YNL222W	0.733333	0.0716685	274.47	11	7.06787	1
YNL317W	0.273504	0.0292844	6092.99	32	40.1595	1
