name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YPL235W	0.0909	0.0283	175655.7280	8.0000	5.2294	1
YAR008W	0.5333	0.0078	5342.1838	12.0000	0.0183	1
YBL051C	0.3333	0.0345	8305.0984	0.0010	0.0000	0
YLR105C	0.4286	0.0146	7342.4851	12.0000	0.2504	1
YMR059W	1.0000	0.2667	0.0000	12.0000	0.0000	1
YPL083C	0.7000	0.0209	1945.2960	12.0000	0.4454	1
YAR009C	0.6667	0.0559	623.0305	0.0010	0.0000	0
YHL002W	0.1287	0.0287	29173.9750	0.0010	0.0000	0
YNL118C	0.0871	0.0529	101597.9534	8.0000	35.4312	1
YAR014C	0.2222	0.0756	6640.3587	1.0000	0.0482	0
YDR195W	0.4559	0.1263	6118.4574	8.0000	363.7276	0
YER054C	0.3273	0.0643	3330.2659	7.0000	6.3867	0
YER158C	0.3333	0.0805	9373.9792	0.0010	0.0000	0
YIL045W	0.4000	0.0130	10232.5330	0.0010	0.0000	0
YMR071C	0.5000	0.0288	2050.0800	0.0010	0.0000	1
YNL333W	0.4000	0.0180	8111.7372	0.0010	0.0000	0
YOL154W	0.6667	0.0195	930.9596	0.0010	0.0000	0
YAR018C	0.2000	0.0606	15977.2818	0.0010	0.0000	0
YBL106C	0.1538	0.0265	14626.6198	0.0010	0.0000	0
YGR285C	0.5000	0.0233	2514.1727	0.0010	0.0000	0
YML064C	0.0325	0.0156	182758.6413	0.0010	0.0000	1
YOR167C	0.6579	0.0144	89631.5322	391.0000	150173.0567	0
YAR019C	1.0000	0.4771	0.0000	0.0010	0.0000	1
YAR020C	0.6667	0.2500	4542.0000	0.0010	0.0000	0
YBR222C	1.0000	0.6667	0.0000	0.0010	0.0000	0
YDR455C	0.2857	0.0184	21639.5409	0.0010	0.0000	0
YAR027W	0.6667	0.2364	51.0936	0.0010	0.0000	0
YAR030C	0.6667	0.0075	3270.6639	0.0010	0.0000	0
YBR135W	0.3056	0.3482	4764.8944	1.0000	21.4025	1
YAR031W	0.5000	0.0077	3294.9200	0.0010	0.0000	0
